name,rating,price,url,description,instruction,country
Парфюмерная вода BASTILLE  Demain Promis,5.0,6 540,https://goldapple.ru/19000125769-demain-promis,"День для себя – это любимая книга, просмотр сериала, теплая ванна и парфюмерная вода DEMAIN PROMIS. Окутывающая ароматическая композиция – словно эликсир расслабления во флаконе. 
Кажущийся знакомым и близким, но при этом чувственный аромат идеально подходит для беззаботных моментов отдыха. Приятная гармония нежных молочных нот, шалфея, розы, кардамона, сладких бобов тонка и кремового звучания сандала помогает отвлечься от всех забот, отложить дела и посвятить время себе. 
Французская парфюмерная вода BASTILLE создана на основе натуральных компонентов. 
Парфюмер – Caroline Dumur.
",Для наружного применения.,Франция
Туалетная вода Moschino  TOY 2 BUBBLE GUM,4.7,3 675,https://goldapple.ru/19760343531-toy-2-bubble-gum,"Туалетная вода TOY 2 BUBBLE GUM от MOSCHINO – это жизнерадостный и позитивный аромат для тех, кто хочет видеть жизнь в розовом цвете! Великолепную и многогранную розу окутывают игривые и насыщенные ноты жевательной резинки, одновременно сладкие и пряные. Вдохновляющую и бодрящую композицию, которая заставляет забыть о негативных эмоциях, дополняют засахаренные цитрусы в сочетании с сочным персиком и черной смородиной. Имбирь и корица придают аромату лёгкую остроту, а древесные ноты и нежный мускус делают его элегантным. Культовый флакон в виде плюшевого мишки стал розовым, и теперь TOY 2 раскрывает свои нежные объятия для всех, кто знает: розовый никогда не выйдет из моды!
",-,Италия
Парфюмерная вода Birkholz  Bordeaux Plaisir De La Nuit,-,18 692,https://goldapple.ru/19000298135-bordeaux-plaisir-de-la-nuit,"Парфюмерная вода Bordeaux Plaisir de la nuit — дань утонченности и уникальной атмосфере пейзажей региона Бордо. Она воплощает чувственность момента в страстную встречу под луной с бокалом вина.

Древесно-фруктовый аромат BIRKHOLZ представляет слияние глубины и элегантности звучания. Верхние ноты демонстрируют яркое сочетание пряного кардамона, гватемальского бергамота и бодрящей свежести яблока. 
В нотах сердца раскрываются нежная роза, жасмин и мускатный шалфей. Ваниль, мускус, пачули и сандаловое дерево в базовых нотах дарят чарующее тепло.",Только для наружного применения.,Германия
"Духи Zielinski & Rozen  Black Pepper, Vetiver, Neroli, Amber",4.8,6 360,https://goldapple.ru/90151200002-black-pepper-amber-neroli,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.
Эрез Розен 

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. 

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
Одеколон Acqua di Parma  COLONIA FUTURA,5.0,17 900,https://goldapple.ru/19760313907-colonia-futura,"Colonia Futura с самого своего истока выражает ноты всеобъемлющей и яркой природы. Динамичная структура аромата резонирует единовременно мягкими нотами ветивера и цитруса: взрыв бергамота, лимона и грейпфрута, облаченный в пряное послевкусие розового перца. Яркое начало становится нежнее в сердце, раскрывая нежную фужерную ноту лаванды и шалфея. Эта гармония находит удивительное завершение в глубине ветивера, привнося древесные нотки в интенсивный землистый фон.",-,Италия
Парфюмерная вода State Of Mind  L'Ame Slave,5.0,6 994,https://goldapple.ru/19760310036-l-ame-slave,"Древесный аромат L'Ame Slave – это воплощение таинственной, независимой и спонтанной славянской души. Глубокая композиция создана на основе нот бергамота и гевеи, к которым присоединяются василёк, степные травы, кедр и серёжки березы. Вдохновением для создания аромата стал Второй концерт для фортепиано с оркестром Сергея Рахманинова. Контрастный и чувственный L'Ame Slave потрясает и позволяет сердцу править, руководить разумом.

Верхние ноты: бергамот, лимон, гевея

Ноты сердца: имбирь, мёд, ваниль

Базовые ноты: пуэр, кедр, береза, сандал

",-,Франция
Парфюмерная вода ANTINOMIE  Bois Blanc Pudique,4.8,4 210,https://goldapple.ru/19000222208-bois-blanc-pudique,"Осмотрительность помогает нам выделяться. Тонкий и древесный аромат начинается со свежих нот мандарина, груши и ананаса. Постепенно мы открываем для себя больше: пачули и цветочный букет, в котором переплетаются жасмин, иланг-иланг и гиацинт. 
Наступает грандиозный финал, когда изысканные ноты амбры и ванили раскрываются только для нас. Bois Blanc Pudique — осмелитесь ли вы показать себя? ",Только для наружного применения.,Франция
Набор парфюмерный SIGNATURE BY SILLAGE DORIENT  Jade,4.6,16 875,https://goldapple.ru/19000121296-jade,"В изысканный набор входят парфюмерная вода JADE (100 мл), её миниатюра в тревел-формате (15 мл) и распылитель. 
Цитрусовая и сладкая композиция SIGNATURE by Sillage d'Orient – это воплощение чистоты, идеальный баланс сладости и тепла. Jade переводится как нефрит, и флакон парфюмерной воды таит ту же магию, что и этот удивительный камень. Согласно китайской пословице, золото ценно, но именно нефрит – бесценен. 
Неповторимую красоту нефрита и бессмертный дух Востока отражают цитрусовые ноты бергамота, лимона и мандарина, которые окутывают свежестью и сладостью, а затем уступают место теплым нотам ванили, амбры и мускуса.",Распылять на кожу с расстояния 20-30 см.,Франция
концентрированные духи GIARDINO MAGICO  Velvet oud,-,18 500,https://goldapple.ru/19000260482-velvet-oud,"""A volte basta un attimo per scordare una vita, ma a volte non basta una vita per scordare un attimo.""  - Иногда хватает мгновения, чтобы забыть жизнь, а иногда не хватает жизни, чтобы забыть мгновение.

Он думал о смысле этой фразы весь вечер, покуривая сигару и слушая джаз. Попытки забыть то, что так хотелось, уже давно увенчались провалом и сердце все так же сжималось при воспоминании о ней.

Velvet oud начинает свое звучание с восточных кожаных аккордов и бархатистого кашемира в облаке дыма от дорогого табака, плавно перетекая в теплую сладковатую амбру. Завершает композицию благородное звучание удового дерева и черного перца, оставляя незабываемый шлейф. ",Наносить на кожу и волосы.,Россия
Свеча ароматическая Vellutier  Midnight Toast,5.0,4 597,https://goldapple.ru/19000131304-midnight-toast,"Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах.
Это бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева.
Геральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем.
Ароматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира!
Тост в полночь для особой , волшебной ночи ! Закружитесь вместе с нами в необычном танце ароматов джина с тоником, дыни, цветка апельсина, тика и кедра.",Ароматическая композиция,Польша
Парфюмерная вода Tom Ford  Lost Cherry,4.2,46 913,https://goldapple.ru/26375300002-lost-cherry,"Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный амбровый аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.",-,США
Парфюмерная вода Sisley  Soir d'Orient,5.0,23 190,https://goldapple.ru/80620700002-soir-d-orient,"Парфюмерная вода Sisley Soir d'Orient — магия восточного дворца, уносит в атмосферу магическую и необыкновенную. В этом аромате Sisley воспевается настоящая чувственная женственность, целый вихрь красок и оттенков окутывает завесой некой таинственности, свойственной женщине - чувственной и ослепительно красивой. Начало парафюмерной воды — это ноты итальянского лимона, шафрана и ирландского гальбанума. Сердце Soir d'Orient соткано из пряного, бодрящего и дерзкого черного перца, турецкой розы и египетской герани. Шлейф аромата древесный, в нем слышны кожаные ноты благовоний Сомали и тепло индонезийской приправы пачули. Аромат пленительного вечера на Востоке — это Soir d'Orient.",-,Франция
Парфюмерная вода ESSENTIAL PARFUMS PARIS  Bois imperial refillable limited edition,4.2,6 881,https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока».

Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах». 

Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов. 

Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. 

Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила. ",Только для наружного применения.,Франция
